index,avg_max_temp,precipitation,relative_humidity,avg_min_temp,avg_rx1day,avg_days_r20mm
1950-01,30.4,46.34,57.0,20.11,11.7,0.18
1950-02,31.79,21.06,50.33,20.43,6.57,0.06
1950-03,29.45,138.63,68.15,20.37,27.24,1.2
1950-04,27.17,219.78,80.3,19.92,26.25,1.7
1950-05,26.49,120.62,76.22,19.18,16.16,0.66
1950-06,27.13,53.16,64.44,18.62,7.98,0.34
1950-07,26.59,59.7,63.14,18.35,10.21,0.42
1950-08,26.87,75.89,61.47,18.15,11.03,0.64
1950-09,28.53,55.41,59.83,18.65,10.56,0.31
1950-10,29.42,53.17,59.91,19.37,11.44,0.24
1950-11,28.04,104.92,71.57,19.46,14.85,0.36
1950-12,28.81,58.14,66.2,19.56,9.9,0.09
1951-01,30.9,39.92,53.23,20.02,10.21,0.19
1951-02,30.42,41.97,58.41,20.14,8.12,0.06
1951-03,29.61,129.15,67.48,20.75,22.65,0.86
1951-04,27.04,280.32,82.09,19.89,29.3,2.44
1951-05,26.85,108.57,76.02,19.57,15.01,0.49
1951-06,27.45,42.37,63.53,18.64,7.7,0.23
1951-07,27.54,46.49,59.59,18.3,8.29,0.34
1951-08,27.88,43.04,58.48,18.6,6.17,0.28
1951-09,30.11,26.07,54.19,19.25,5.43,0.12
1951-10,29.04,121.93,67.36,20.15,17.46,0.6
1951-11,27.13,194.77,80.24,19.6,24.94,1.3
1951-12,26.18,206.41,83.16,19.15,21.83,1.35
1952-01,28.94,51.44,67.71,19.57,9.42,0.19
1952-02,29.31,87.88,70.3,20.17,13.59,0.26
1952-03,29.97,89.54,68.38,20.44,15.46,0.41
1952-04,28.07,168.65,76.85,20.19,23.6,1.19
1952-05,27.41,181.25,76.35,19.79,23.43,1.63
1952-06,27.2,45.23,66.13,18.77,7.99,0.22
1952-07,27.34,41.77,60.04,18.38,5.18,0.25
1952-08,27.75,54.87,59.12,18.41,8.52,0.37
1952-09,29.88,26.89,53.7,18.91,6.14,0.13
