index,avg_max_temp,precipitation,relative_humidity,avg_min_temp,avg_rx1day,avg_days_r20mm
1950-01,26.48,207.86,80.09,18.18,21.91,1.04
1950-02,27.18,140.64,76.46,18.43,20.39,0.78
1950-03,26.55,184.38,77.57,18.36,26.39,1.42
1950-04,25.42,178.08,81.79,18.04,25.94,1.06
1950-05,24.55,77.26,74.41,16.6,13.22,0.28
1950-06,25.59,6.86,58.7,15.12,1.46,
1950-07,25.94,6.38,53.25,15.25,1.2,0.01
1950-08,26.56,7.9,48.84,15.46,2.05,0.01
1950-09,28.56,18.55,50.51,17.08,3.58,0.04
1950-10,29.14,41.27,55.28,18.19,7.34,0.05
1950-11,28.02,109.92,66.63,18.6,14.23,0.51
1950-12,27.36,166.67,74.27,18.66,18.91,0.98
1951-01,26.55,228.45,79.0,18.24,28.74,1.81
1951-02,26.11,184.92,80.31,17.86,21.9,1.02
1951-03,26.93,139.7,76.51,18.57,19.02,0.81
1951-04,25.74,181.51,80.3,18.1,21.65,0.96
1951-05,25.83,47.0,69.97,17.22,9.42,0.22
1951-06,26.15,6.73,55.03,15.43,1.56,
1951-07,26.66,3.05,47.59,14.84,0.81,
1951-08,27.36,8.51,49.72,15.97,1.92,
1951-09,29.44,14.28,49.73,17.5,3.0,0.02
1951-10,29.63,68.74,57.08,18.73,11.82,0.47
1951-11,27.43,203.86,74.02,18.86,26.39,1.99
1951-12,25.26,341.98,85.06,18.34,32.95,3.72
1952-01,26.51,206.09,81.48,18.63,25.29,1.42
1952-02,26.88,215.03,81.03,18.73,22.2,1.61
1952-03,27.98,136.81,75.25,18.73,18.85,0.88
1952-04,26.2,157.73,78.72,18.49,17.8,0.97
1952-05,26.14,76.74,70.33,17.15,16.19,0.56
1952-06,25.85,9.85,58.37,16.01,1.91,0.01
1952-07,26.21,4.66,51.83,14.97,1.04,
1952-08,27.34,11.42,50.59,15.76,2.43,0.03
1952-09,28.88,17.5,50.93,17.16,3.69,0.02
1952-10,29.48,26.49,52.01,18.14,4.5,0.04
1952-11,27.91,107.82,67.01,18.56,17.69,0.71
1952-12,27.98,155.52,72.3,19.27,18.2,1.2
1953-01,25.48,293.33,83.97,18.54,31.4,2.83
1953-02,26.37,185.42,81.0,18.62,25.28,1.54
1953-03,25.78,297.2,84.56,18.54,30.73,2.91
1953-04,25.07,249.46,85.33,18.28,26.72,1.94
