index,avg_max_temp,precipitation,relative_humidity,avg_min_temp,avg_rx1day,avg_days_r20mm
1950-01,27.1,108.4,69.72,17.65,15.37,0.39
1950-02,28.25,69.45,64.91,18.15,13.88,0.21
1950-03,26.14,263.11,77.75,18.2,27.06,2.62
1950-04,25.29,278.94,83.5,18.05,26.86,2.26
1950-05,24.59,260.24,84.18,17.7,25.2,1.88
1950-06,24.76,102.59,77.67,17.15,14.33,0.39
1950-07,24.57,104.9,76.5,16.69,14.75,0.37
1950-08,24.69,114.19,74.85,16.84,14.69,0.35
1950-09,25.41,191.13,79.95,17.39,19.53,0.85
1950-10,25.28,177.7,80.32,17.29,17.49,0.57
1950-11,25.1,222.68,82.09,17.34,18.53,1.26
1950-12,26.53,116.71,74.4,17.42,14.08,0.33
1951-01,27.33,97.89,67.3,17.71,16.13,0.46
1951-02,26.81,135.08,72.62,17.7,17.18,0.59
1951-03,26.34,259.58,78.83,18.53,26.21,2.15
1951-04,25.38,277.72,83.91,18.21,25.71,1.94
1951-05,25.04,267.05,84.07,18.09,26.93,2.11
1951-06,25.11,116.07,79.12,17.39,15.86,0.28
1951-07,25.4,72.71,73.79,16.94,11.06,0.14
1951-08,25.8,104.36,74.36,17.75,15.37,0.32
1951-09,26.77,130.18,76.77,18.0,14.61,0.31
1951-10,25.86,269.75,82.01,18.32,25.43,2.09
1951-11,24.99,302.47,84.28,17.79,30.09,3.41
1951-12,24.35,295.38,83.57,17.47,30.7,3.2
1952-01,27.36,95.87,70.43,18.17,13.46,0.42
1952-02,26.87,175.41,75.21,18.28,22.31,1.09
1952-03,26.9,213.07,77.06,18.41,25.97,1.76
1952-04,25.15,312.52,84.71,18.33,29.32,2.98
1952-05,24.67,261.75,85.08,18.13,25.03,1.57
1952-06,25.16,127.29,78.17,17.58,17.27,0.69
1952-07,25.35,99.87,75.57,17.32,14.8,0.31
1952-08,25.17,164.55,78.95,17.49,20.85,0.82
1952-09,26.0,132.75,77.96,17.58,17.24,0.43
1952-10,26.41,150.32,76.77,18.12,15.34,0.42
1952-11,25.02,253.22,81.54,17.68,22.4,1.85
1952-12,26.61,154.03,74.99,18.28,19.98,1.06
1953-01,26.03,199.56,76.49,17.87,27.7,2.09
1953-02,26.01,244.55,78.92,18.36,30.73,2.73
1953-03,25.91,297.79,80.51,18.27,37.47,3.35
1953-04,25.34,301.03,84.11,18.33,31.14,2.74
1953-05,24.65,323.4,85.61,18.02,34.08,3.56
1953-06,24.81,162.41,82.44,17.52,19.47,0.71
1953-07,24.65,116.28,77.2,16.7,15.28,0.51
1953-08,25.41,119.21,76.62,17.48,18.59,0.53
1953-09,26.08,129.17,75.49,17.39,20.48,0.64
1953-10,26.05,233.5,80.5,18.05,22.11,1.58
1953-11,24.74,338.76,84.75,17.86,31.04,4.27
1953-12,25.04,183.71,79.55,17.45,20.58,1.49
1954-01,27.18,74.62,66.46,17.81,11.58,0.2
1954-02,27.53,133.35,71.2,18.5,19.67,0.75
1954-03,27.08,194.04,77.26,18.64,22.48,1.07
1954-04,25.5,228.89,81.88,18.22,25.17,1.64
1954-05,24.88,237.46,83.47,17.96,22.94,1.32
1954-06,24.81,74.72,75.92,17.2,11.91,0.12
1954-07,24.71,91.6,75.33,17.01,13.58,0.4
1954-08,24.87,149.28,76.51,17.23,19.84,0.81
1954-09,25.23,165.21,79.43,17.33,18.33,0.6
1954-10,25.89,143.89,76.41,17.53,17.34,0.47
1954-11,26.59,84.04,70.33,17.93,9.77,0.23
1954-12,26.07,117.58,71.3,17.55,17.54,0.71
1955-01,26.81,135.16,69.75,18.1,18.83,0.83
1955-02,27.38,89.05,68.04,18.63,13.79,0.38
1955-03,26.99,185.0,73.0,18.61,26.2,1.44
1955-04,26.12,178.91,77.7,18.26,22.0,1.08
1955-05,24.99,182.98,80.52,17.83,20.89,1.15
